subject_id,ICount,ITitle,possessive_pronoun,personal_pronoun,verbs,fog,fre,lwf,dcr,month,text_length,title_length,depression,anxiety,therapist,diagnosis,anti_depression
subject1064,0,0,0.0,0.0122,0.0122,27.055737704918034,12174.26999999997,121.7426999999997,0.2705573770491803,0.0078,0.2492,0.2492,1,4,0,0,0
subject1105,0,0,0.0,0.629,0.005,13.600000000000001,-425755.32999999565,0.0,0.136,0.1794,2.7168,2.7168,0,1,0,0,0
subject1264,0,0,0.0,0.0,0.0018,10.044444444444444,10938.080000000005,109.38080000000005,0.10044444444444445,0.003,0.0498,0.0498,1,0,0,0,0
subject1786,0,0,0.0,0.0,0.0004,22.8,7504.209999999963,75.04209999999962,0.228,0.0054,0.1018,0.1018,0,0,0,0,0
subject280,0,0,0.0,0.414,0.0004,22.8,491682.56000000675,4916.825600000067,0.228,0.1992,3.0032,3.0032,2,6,3,0,0
subject3301,0,0,0.0,0.0,0.0112,25.114285714285714,3816.049999999997,38.16049999999997,0.2511428571428571,0.0016,0.0398,0.0398,0,1,1,0,0
subject3357,0,0,0.0,0.0808,0.0038,11.705263157894738,-128757.71000000104,0.0,0.11705263157894738,0.01,0.3552,0.3552,1,0,0,0,0
subject3883,0,0,0.0,0.0,0.0024,10.133333333333333,19816.660000000018,198.1666000000002,0.10133333333333333,0.0068,0.08,0.08,0,0,0,0,0
subject4226,0,0,0.0,0.1134,0.0012,11.066666666666666,-113237.95999999964,0.0,0.11066666666666666,0.0696,0.6452,0.6452,0,0,0,0,0
subject4278,0,0,0.0,0.1134,0.001,12.0,322417.04999999463,3224.1704999999465,0.12,0.1566,1.8648,1.8648,1,2,0,0,0
subject4392,0,0,0.0,0.0,0.009,20.88888888888889,11258.69999999994,112.5869999999994,0.2088888888888889,0.0028,0.0964,0.0964,0,1,0,0,0
subject4479,0,0,0.0,0.0,0.0094,21.651063829787233,11832.539999999966,118.32539999999966,0.21651063829787234,0.0024,0.0508,0.0508,1,2,0,0,0
subject4505,0,0,0.0,0.0486,0.0094,21.651063829787233,29285.950000000066,292.85950000000065,0.21651063829787234,0.0106,0.2912,0.2912,2,1,0,0,0
subject4527,0,0,0.0,0.061,0.0116,25.889655172413793,-126447.67000000094,0.0,0.25889655172413795,0.0104,0.3472,0.3472,3,1,0,0,0
subject4785,0,0,0.0,0.1178,0.032,66.25,-139859.39999999982,0.0,0.6625,0.0052,0.5322,0.5322,0,3,0,0,0
subject4848,0,0,0.0,0.0,0.0132,29.006060606060608,3638.8099999999877,36.38809999999987,0.2900606060606061,0.0022,0.0232,0.0232,1,0,0,0,0
subject5112,0,0,0.0,0.0092,0.001,12.0,27729.850000000035,277.29850000000033,0.12,0.0058,0.12,0.12,0,0,0,0,0
